sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
292,TCS-2255,Score-estimation rates above Holder smoothness one,Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2,Learning theory,quarantined,individual_review,Doplňuje hladkostní režim jedné neparametrické odhadové úlohy; obecné výpočetně-statistické bariéry mají větší prioritu.,,,Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2,Optimal score estimation via empirical Bayes smoothing,https://proceedings.mlr.press/v247/wibisono24a.html
293,TCS-2269,Exact local Glivenko-Cantelli deviations,"Exact non-asymptotic bounds would be of particular interest, but to the best of our knowledge even characterizing the asymptotic behavior of the maximum deviation for […]",Learning theory,quarantined,individual_review,Další přesná asymptotika maximální odchylky má menší dosah než hlavní vzorkové meze a obecná uniformní konvergence.,,,"Exact non-asymptotic bounds would be of particular interest, but to the best of our knowledge even characterizing the asymptotic behavior of the maximum deviation for […]",Tight Bounds for Local Glivenko-Cantelli,https://proceedings.mlr.press/v237/blanchard24a.html
294,TCS-2275,VC bounds for a disagreement construction,"However, the technique in the proof of Theorem 3 does not seem sufficient to establish this, and we leave open the question of whether VC(D(C)) […]",Learning theory,quarantined,individual_review,Zpřesňuje pomocný vztah mezi dimenzemi jedné transformační konstrukce; hlavní vazby dimenzí na naučitelnost jsou zásadnější.,,,"However, the technique in the proof of Theorem 3 does not seem sufficient to establish this, and we leave open the question of whether VC(D(C)) […]",The Star Number and Eluder Dimension: Elementary Observations About the Dimensions of Disagreement,https://proceedings.mlr.press/v247/hanneke24a.html
295,TCS-2461,Generalization-bound limitations for smooth SCO subclasses,It is an open question to show that such limitations exist for the subclasses of SCO problems with smooth or strongly-convex loss functions.,Learning theory,quarantined,individual_review,Rozšiřuje omezení jedné analytické metody na další podtřídy funkcí; nejde o samotnou statistickou nebo výpočetní nemožnost učení.,,,It is an open question to show that such limitations exist for the subclasses of SCO problems with smooth or strongly-convex loss functions.,Limitations of Information-Theoretic Generalization Bounds for Gradient Descent Methods in Stochastic Convex Optimization,https://proceedings.mlr.press/v201/haghifam23a.html
296,TCS-2462,Unknown variances in fixed-budget best-arm identification,"Finally, in the fixed-budget setting, characterizing the impact of not knowing the variances on the probability of misidentifying the best-arm is still an open problem.",Learning theory,quarantined,individual_review,Doplňuje informační cenu jedné neznalosti v jednom rozpočtovém modelu; hlavní instance-optimal best-arm otázky ponechávám.,,,"Finally, in the fixed-budget setting, characterizing the impact of not knowing the variances on the probability of misidentifying the best-arm is still an open problem.",Dealing with Unknown Variances in Best-Arm Identification,https://proceedings.mlr.press/v201/jourdan23a.html
297,TCS-2573,Other natural PLC-complete problems,What other natural problems belong to PLC or are PLC-complete?,Learning theory,quarantined,individual_review,"Žádá další příklady úplných problémů bez konkrétního kandidáta; to je budování repertoáru třídy, nikoli jedna zásadní domněnka.",,,What other natural problems belong to PLC or are PLC-complete?,"Extremal Combinatorics, Iterated Pigeonhole Arguments and Generalizations of PPP",https://doi.org/10.4230/LIPIcs.ITCS.2023.88
298,TCS-2622,Randomized extension of PL-function lower bounds,"We conjecture that our results can be extended to randomized algorithms, using the same technique in Nemirovskij and Yudin (1983) and explicit construction in Woodworth […]",Learning theory,quarantined,individual_review,Přenáší existující dolní mez do randomizovaného modelu navrženou technikou; jde o navazující rozšíření konkrétní analýzy.,,,"We conjecture that our results can be extended to randomized algorithms, using the same technique in Nemirovskij and Yudin (1983) and explicit construction in Woodworth […]",On the Lower Bound of Minimizing Polyak-Łojasiewicz functions,https://proceedings.mlr.press/v195/yue23a.html
299,TCS-2829,Structure of DPP maximum-likelihood kernels,"If the cardinality of every subset in a training set is at most k ≥ 1, then every optimal maximum likelihood marginal kernel for the […]",Learning theory,quarantined,individual_review,Omezená velikost tréninkových podmnožin vede k technické domněnce o optimálním kernelu; obecná efektivní naučitelnost DPP má přednost.,,,"If the cardinality of every subset in a training set is at most k ≥ 1, then every optimal maximum likelihood marginal kernel for the […]",Hardness of Maximum Likelihood Learning of DPPs,https://proceedings.mlr.press/v178/grigorescu22a.html
300,TCS-2833,Hierarchical locality breaking neural approximation dimensionality,"We conjecture that hierarchical localities are also the key ingredient to break the curse of dimensionality for approximation in finite-width neural networks, bringing down the […]",Learning theory,quarantined,individual_review,"Tvrzení, že určitý princip je klíčový, bez přesně určené rodiny a meze není samostatná rozhodnutelná matematická otázka.",,,"We conjecture that hierarchical localities are also the key ingredient to break the curse of dimensionality for approximation in finite-width neural networks, bringing down the […]",Eigenspace Restructuring: A Principle of Space and Frequency in Neural Networks,https://proceedings.mlr.press/v178/xiao22a.html
301,TCS-3109,Tight k-cover times for irreducible chains,"We leave the tight characterization of k-cover time for irreducible chains as an open problem, but we conjecture the lower bound to be tight.",Learning theory,quarantined,individual_review,Přesné pokrytí jednoho typu náhodné procházky je pomocná pravděpodobnostní veličina; hlavní bariéry učení Markovových modelů mají větší dosah.,,,"We leave the tight characterization of k-cover time for irreducible chains as an open problem, but we conjecture the lower bound to be tight.",Learning and Testing Irreducible Markov Chains via the $k$-Cover Time,https://proceedings.mlr.press/v132/chan21a.html
302,TCS-3303,Minimum translational-embedding dimension of a DAG,What characterization can be given for the minimum dimension of a translational embedding of a dag?,Learning theory,quarantined,individual_review,Klasifikuje jednu reprezentaci relací v eukleidovském prostoru; obecná dimenzionální a reprezentační složitost má přednost.,,,What characterization can be given for the minimum dimension of a translational embedding of a dag?,What relations are reliably embeddable in Euclidean space?,https://proceedings.mlr.press/v117/bhattacharjee20a.html
303,TCS-3388,The strongest optimality notion in general environments,"Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).",Learning theory,quarantined,individual_review,Hledání nejsilnější vhodné definice optimality nemá předem stanovené kritérium řešení; jde o výzkumný program.,,,"Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).",Pessimism About Unknown Unknowns Inspires Conservatism,https://proceedings.mlr.press/v125/cohen20a.html
304,TCS-3587,Noiseless sorted top-k after more than two rounds,Get tight (up to a constant factor) sample complexity bounds for the noiseless case when r > 2.,Learning theory,quarantined,individual_review,Zbývající počet kol a přesná vzorková optimalita jedné pořadové úlohy jsou příliš specifické pro tento výběr.,,,Get tight (up to a constant factor) sample complexity bounds for the noiseless case when r > 2.,Sorted Top-k in Rounds,https://proceedings.mlr.press/v99/braverman19a.html
305,TCS-3666,Efficient reinforcement-learning baselines,"Designing efficient baselines is still an open problem in RL, and understanding limiting behavior of different estimators could lead to new insights.",Learning theory,quarantined,individual_review,Návrh dobrých baseline estimátorů není jediný vymezený problém s cílovou mezí; obecné RL sample-complexity otázky jsou vhodnější.,,,"Designing efficient baselines is still an open problem in RL, and understanding limiting behavior of different estimators could lead to new insights.",The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint,https://proceedings.mlr.press/v99/tu19a.html
306,TCS-3692,Robust proper-learning gaps for interesting neural classes,"It remains open to establish whether such gaps actually exist for specific interesting neural net classes (e.g., functions representable by a specific architecture, possibly with […]",Learning theory,quarantined,individual_review,Bez konkrétní architektury a cílové separace jde o výzvu hledat další příklady obecného jevu.,,,"It remains open to establish whether such gaps actually exist for specific interesting neural net classes (e.g., functions representable by a specific architecture, possibly with […]","VC Classes are Adversarially Robustly Learnable, but Only Improperly",https://proceedings.mlr.press/v99/montasser19a.html
307,TCS-4136,Automatic learning from restricted text presentations,"However it is an open problem whether all automatic families satisfying Angluin’s tell-tale condition are automatically learnable from one-one texts, balanced texts and exponential texts.",Learning theory,quarantined,individual_review,"One-one, balanced a exponential texty jsou speciální prezentační modely; obecná automatická naučitelnost má přednost.",,,"However it is an open problem whether all automatic families satisfying Angluin’s tell-tale condition are automatically learnable from one-one texts, balanced texts and exponential texts.",Automatic Learning from Repetitive Texts,https://proceedings.mlr.press/v76/h%C3%B6lzl17a.html
308,TCS-4496,H-mixability versus S-alpha-mixability,"For example, are there losses that are H-mixable but not Sα -mixable, or vice-versa?",Learning theory,quarantined,individual_review,Porovnává dvě zvláštní entropické podmínky pro ztráty; hlavní charakterizace dosažitelného regretu jsou zásadnější.,,,"For example, are there losses that are H-mixable but not Sα -mixable, or vice-versa?",Generalized Mixability via Entropic Duality,https://proceedings.mlr.press/v40/Reid15.html
309,TCS-4629,Convergence rates in an approachability subframework,"In this last framework, determining even slow (or worst case) convergence rates is still an open problem.",Learning theory,quarantined,individual_review,Uložený cíl je navázán na poslední model jednoho článku a neurčuje požadovanou rychlost; obecná approachability je širší problém.,,,"In this last framework, determining even slow (or worst case) convergence rates is still an open problem.","Approachability, fast and slow",https://proceedings.mlr.press/v30/Perchet13.html
310,TCS-4651,Mind-change speedups for natural automatic classes,Yet the general problem of whether there are wide natural automatic classes for which mind change speed-up is possible remains open.,Learning theory,quarantined,individual_review,Hledá nějaké „široké přirozené“ třídy bez stanovené cílové rodiny; jde o program hledání příkladů.,,,Yet the general problem of whether there are wide natural automatic classes for which mind change speed-up is possible remains open.,Mind Change Speed-up for Learning Languages from Positive Data,https://doi.org/10.4230/LIPIcs.STACS.2012.350
311,TCS-4807,Improving direct-sum bounds for some classes and distributions,Open problem: Direct Sums in Learning Theory — Open Question 1,Learning theory,quarantined,individual_review,Obecný problém direct sums zůstává v TCS-0671; tato položka žádá zlepšení u blíže neurčených speciálních případů.,,TCS-0671,Can the upper bound be asymptotically improved for some concept classes C and marginal distributions D?,Open problem: Direct Sums in Learning Theory,https://proceedings.mlr.press/v247/hanneke24c.html
312,TCS-4912,A probability assignment for general sequential log-loss classes,Sequential prediction under log-loss with side information — Open Problem 2,Learning theory,quarantined,individual_review,Výzva sestrojit a analyzovat prediktor neuvádí v uložené otázce cílovou redundanci nebo regret; nevymezuje další hlavní bariéru.,,,Construct and analyze a probability assignment q for the case when F is a general hypothesis class.,Sequential prediction under log-loss with side information,https://proceedings.mlr.press/v132/bhatt21a.html
313,TCS-5003,Nesterov acceleration under deep-ReLU GD assumptions,Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks — Explicit open question on PDF page 1,Learning theory,quarantined,individual_review,Přenáší konvergenci z gradient descent na momentum při předpokladech jedné analýzy; obecné konvergenční bariéry neuronových sítí mají přednost.,,,"While gradient descent converges linearly under such conditions, it remains an open question whether Nesterov’s momentum enjoys accelerated convergence under similar settings and assumptions.",Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks,https://proceedings.mlr.press/v237/liao24a.html
314,TCS-5155,How about PAC learnability?,A Unified Characterization of Private Learnability via Graph Theory — Unresolved-question passage on page 13,Learning theory,quarantined,individual_review,"Výňatek pouze odkazuje na PAC naučitelnost a konečnou VC dimenzi, ale neříká, jaká otevřená vlastnost se má dokázat.",,,How about PAC learnability (which is equivalent to finite VC dimension)?,A Unified Characterization of Private Learnability via Graph Theory,https://proceedings.mlr.press/v247/alon24a.html
315,TCS-5156,The maximum poisoning range for bounded attackers,Can Adversarially Robust Learning LeverageComputational Hardness? — Explicit open question on PDF page 12,Learning theory,quarantined,individual_review,Zpřesňuje parametrický rozsah útoku v jednom výpočetně omezeném adversariálním modelu; obecná robustní naučitelnost má větší dosah.,,,Finding the maximum range of μ for which computationally bounded attackers can increase the error to 1 − 1/ poly(n) remains open.,Can Adversarially Robust Learning LeverageComputational Hardness?,https://proceedings.mlr.press/v98/mahloujifar19a.html
316,TCS-5167,Distribution dependence of deep-learning power — second record,Invited Open Problem: Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent? — Open Question 1,Learning theory,quarantined,duplicate,Tentýž otevřený problém je již reprezentován TCS-0664; další výňatek stejného zdroje samostatné místo nevyžaduje.,TCS-0664,TCS-0664,"Is there a constant C such that for all H ⊆ {±1}X over X = {±1}n , and ε < 1/4, if there exists a […]",Invited Open Problem: Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?,https://proceedings.mlr.press/v336/feldman26a.html
317,TCS-5214,Maximum separation for extended learning graphs,Extended Learning Graphs for Triangle Finding — Explicit open question on PDF page 1,Learning theory,quarantined,individual_review,Optimalizuje sílu konkrétní kvantové algoritmické techniky; obecné dotazové separace mají přednost před mezerou uvnitř tohoto formalismu.,,,"But surprisingly, the best possible gap is still an open question, even if it was improved for both models very recently [3, 1].",Extended Learning Graphs for Triangle Finding,https://doi.org/10.4230/LIPIcs.STACS.2017.20
318,TCS-5248,A parity threshold in the bipartite SBM,Spectral thresholds in the bipartite stochastic block model — Explicit open question on PDF page 8,Learning theory,quarantined,individual_review,Přesný detekční práh jedné speciální distribuce v bipartitním modelu je užší než hlavní planted-model a learning-parity bariéry.,,,"In particular, in the case of the parity distribution we conjecture that there is a sharp threshold for detection.",Spectral thresholds in the bipartite stochastic block model,https://proceedings.mlr.press/v49/florescu16.html
319,TCS-5336,Selective-sampling rates for Holder extrema,Estimation of Extreme Values and Associated Level Sets of a Regression Function via Selective Sampling — Explicit open question on PDF page 7,Learning theory,quarantined,individual_review,Zpřesňuje minimaxový exponent odhadu extrémů při kombinaci hladkostních a geometrických parametrů; pro tento atlas je to příliš specifická statistická úloha.,,,"Whenever β − 0 < β ≤ 1 and βγ < d, we conjecture that the optimal rate is n 2β+d−βγ .",Estimation of Extreme Values and Associated Level Sets of a Regression Function via Selective Sampling,https://proceedings.mlr.press/v30/Minsker13.html
320,TCS-5337,Lower-bound techniques for a stronger mean-estimation oracle,Dealing with Range Anxiety in Mean Estimation via Statistical Queries — Explicit open question on PDF page 3,Learning theory,quarantined,individual_review,"Uložená formulace popisuje nedostatek dosavadních technik, ale nezadává konkrétní požadovanou dolní mez; není to samostatný hlavní problém.",,,"However, it is unknown how to obtain lower bounds against this stronger oracle using existing analysis techniques (e.g.",Dealing with Range Anxiety in Mean Estimation via Statistical Queries,https://proceedings.mlr.press/v76/feldman17b.html
321,TCS-5381,Gap-entropy best-arm conjecture — second record,Open Problem: Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture — Conjecture 3.2,Learning theory,quarantined,individual_review,Konkrétní formulace ze stejného otevřeného problému doplňuje již ponechaný TCS-0687; druhý import nepočítám samostatně.,,TCS-0687,"There is an algorithm for B EST-1-A RM with sample complexity O(L(I, δ) + ∆−2 −1 2 ln ln ∆2 ),",Open Problem: Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture,https://proceedings.mlr.press/v49/chen16b.html
322,TCS-5510,Infinitely conservative iterated vector fields,"Iterated Vector Fields and Conservatism, with Applications to Federated Learning — Explicit open question on PDF page 6",Learning theory,quarantined,individual_review,"Charakterizace speciálních vektorových polí je pomocná analytická otázka motivovaná federovaným učením, nikoli hlavní learning bariéra.",,,"While f ∈ G⊥ (Rn , R) implies that ∇f is ∞-conservative, exactly characterizing the set of ∞-conservative vector fields in ∇G(Rn , R) remains […]","Iterated Vector Fields and Conservatism, with Applications to Federated Learning",https://proceedings.mlr.press/v167/charles22a.html
323,TCS-5531,Multiclass test-set overfitting — second record,Open Problem: How fast can a multiclass test set be overfit? — Open Problem 2.1,Learning theory,quarantined,duplicate,Stejnou otázku již obsahuje TCS-0681; druhý záznam stejného COLT problému pouze opakuje jeho formulaci.,TCS-0681,TCS-0681,"Show whether there exists an algorithm that, for any distribution P over labeled examples with m classes, submits k accuracy queries to the test set […]",Open Problem: How fast can a multiclass test set be overfit?,https://proceedings.mlr.press/v99/feldman19b.html
324,TCS-5545,A candidate counterexample to computable PAC learning,Open Problem: Are all VC-classes CPAC learnable? — Unresolved-question passage on page 4,Learning theory,quarantined,individual_review,"Zkoumá konkrétní navržený svědek. Hlavní otázku existence nenaučitelné konečně-VC třídy ponechává TCS-3113, takže kandidáta nepočítám zvlášť.",,TCS-3113,In the next subsection we then provide a description of a candidate hypothesis which is decidable and has finite VC dimension and which we conjecture […],Open Problem: Are all VC-classes CPAC learnable?,https://proceedings.mlr.press/v134/open-problem-agarwal21b.html
325,TCS-5547,Structure-agnostic partial-linear risk — second record,Open Problem: Structure-Agnostic Minimax Risk for Partial Linear Model — Explicit open question on PDF page 1,Learning theory,quarantined,duplicate,Jde o další import stejného problému jako TCS-0669; nepřidává odlišnou statistickou otázku.,TCS-0669,TCS-0669,"This note claims that whether double machine learning is optimal for black-box machine learning models remains open, even for the simplest linear coefficient estimation in […]",Open Problem: Structure-Agnostic Minimax Risk for Partial Linear Model,https://proceedings.mlr.press/v291/gu25b.html
326,TCS-5788,Vanilla robust PCA on particular model instances,A Combinatorial Approach to Robust PCA — Unresolved-question passage on page 20,Learning theory,quarantined,individual_review,Ptá se na úspěch jednoho konkrétního algoritmu v nastaveních článku; obecná robustní nízkohodnostní rekonstrukce má přednost.,,,"Taking one more step back, without directly modeling the Gaussianity of the data, does the “vanilla” robust PCA algorithm succeed for the setups in this […]",A Combinatorial Approach to Robust PCA,https://doi.org/10.4230/LIPIcs.ITCS.2024.70
327,TCS-5956,Using matrix structure for optimal probability reconstruction,Recovering Structured Probability Matrices — Explicit open question on PDF page 1,Learning theory,quarantined,individual_review,"Bez určení struktury matice a cílové meze je to obecný návrh výzkumného směru, nikoli jedna zásadní otázka.",,,How can structural properties of the underlying matrix B be leveraged to yield computationally efficient and information theoretically optimal reconstruction algorithms?,Recovering Structured Probability Matrices,https://doi.org/10.4230/LIPIcs.ITCS.2018.46
328,TCS-6831,Finite-size compression for finite-VC classes,Does every finite-VC-dimension class admit a finite-size sample-compression scheme?,Learning theory,quarantined,individual_review,Ponechaný TCS-6541 formuluje silný lineární kompresní cíl; tento slabší zastřešující záznam nepočítám jako další hlavní kompresní problém.,,TCS-6541,Does every finite-VC-dimension class admit a finite-size sample-compression scheme?,Understanding Machine Learning: From Theory to Algorithms,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/
329,TCS-7151,Explain fast neural-network optimization,Explain rapid local or global convergence of neural-network optimization using realistic input structure.,Learning theory,quarantined,individual_review,"Význam tématu je zásadní, ale vysvětlení rychlosti bez pevného modelu dat, algoritmu a meze nemá jedno kritérium vyřešení.",,,Explain rapid local or global convergence of neural-network optimization using realistic input structure.,Beyond Worst-Case Analysis,https://arxiv.org/abs/1806.09817
330,TCS-7152,Explain generalization of overparameterized networks,"Explain why overparameterized networks generalize, accounting for both data and training algorithms.",Learning theory,quarantined,individual_review,"Nejde o jednu domněnku: chybí třída distribucí, trénovací pravidlo a požadovaná generalizační záruka. Do atlasu patří konkrétní bariéry tohoto programu.",,,"Explain why overparameterized networks generalize, accounting for both data and training algorithms.",Beyond Worst-Case Analysis,https://arxiv.org/abs/1806.09817
331,TCS-0448,Algebraic digit extraction,Algebraic digit extraction,Cryptography,quarantined,individual_review,Jde o aritmetické primitivum pro konkrétní kryptografické implementace; záznam nevymezuje obecnou existenční nebo bezpečnostní bariéru.,,,Algebraic digit extraction,0xPARC research workshops,https://notes.0xparc.org/problems/algebraic-digit-extraction/
332,TCS-0449,Amplifier polynomials for FHE,Amplifier polynomials for FHE,Cryptography,quarantined,individual_review,Hledání vhodných polynomů optimalizuje vnitřní součást homomorfního šifrování; základní předpoklady a možnosti FHE mají přednost.,,,Amplifier polynomials for FHE,0xPARC research workshops,https://notes.0xparc.org/problems/amplifier-polynomials-fhe/
333,TCS-0451,Parallelizing blind rotation,Parallelizing blind rotation,Cryptography,quarantined,individual_review,"Paralelizace jedné bootstrappingové operace je důležitá pro výkon, ale je implementačním cílem uvnitř existujícího kryptosystému.",,,Parallelizing blind rotation,0xPARC research workshops,https://notes.0xparc.org/problems/parallelizing-blind-rotation/
334,TCS-0457,Fast polynomial multiplication and decomposition,Fast polynomial multiplication and decomposition,Cryptography,quarantined,individual_review,Dvojice obecných aritmetických optimalizací bez cílové meze nevymezuje samostatnou hlavní kryptografickou otázku.,,,Fast polynomial multiplication and decomposition,0xPARC research workshops,https://notes.0xparc.org/problems/multiplication-decomposition/
335,TCS-1437,More unclonable primitives in MicroCrypt,What other unclonable cryptography primitives can be instantiated in MicroCrypt?,Cryptography,quarantined,individual_review,Ptá se na další primitiva v jednom prostředí bez konkrétního cílového primitiva; jde o rozšiřování repertoáru konstrukcí.,,,What other unclonable cryptography primitives can be instantiated in MicroCrypt?,"Cloning Games, Black Holes and Cryptography",https://doi.org/10.4230/LIPIcs.ITCS.2026.109
336,TCS-1727,Sampling nondegenerate interior-format tensors,"The obvious question we leave open is if there is a polynomial time algorithm to sample non degenerate interior format tensors, even when restricted to […]",Cryptography,quarantined,individual_review,Zajišťuje konkrétní vlastnost klíčů jednoho tensorového kryptosystému; obecná tvrdost tensorové izomorfie má větší dosah.,,,"The obvious question we leave open is if there is a polynomial time algorithm to sample non degenerate interior format tensors, even when restricted to […]",Strong Keys for Tensor Isomorphism Cryptography,https://doi.org/10.4230/LIPIcs.MFCS.2025.78
337,TCS-3004,A local extractor for one delegation architecture,"Design IT-secure, locally computable extractor Ext for the sound implementation of the basic delegation architecture.",Cryptography,quarantined,individual_review,Extraktor je pomocnou komponentou konkrétního návrhu delegace; vyřešení by primárně dokončilo tuto konstrukční cestu.,,,"Design IT-secure, locally computable extractor Ext for the sound implementation of the basic delegation architecture.","Doubly-Affine Extractors, and Their Applications",https://doi.org/10.4230/LIPIcs.ITC.2021.13
338,TCS-4111,Using obfuscation to resolve the Black-Box Hypothesis,Is it possible to use indistinguishability obfuscators for proving or disproving BBH?,Cryptography,quarantined,individual_review,Otázka předepisuje nástroj k řešení jiné domněnky; samotnou Black-Box Hypothesis tím není důvod počítat ještě jednou.,,,Is it possible to use indistinguishability obfuscators for proving or disproving BBH?,Does Looking Inside a Circuit Help?,https://doi.org/10.4230/LIPIcs.MFCS.2017.1
339,TCS-4777,OWSG versus EFI or PRSG — second record,One-Wayness in Quantum Cryptography — Explicit open question on PDF page 3,Cryptography,quarantined,duplicate,Stejný vztah kvantových primitiv již obsahuje TCS-1961 v kvantové kategorii; tento záznam stejného zdroje je opakování.,TCS-1961,TCS-1961,"In quantum cryptography, on the other hand, we do not know whether OWSGs and EFI pairs (or PRSGs) are equivalent or not.",One-Wayness in Quantum Cryptography,https://doi.org/10.4230/LIPIcs.TQC.2024.4
340,TCS-4805,Proofs of useful work from more standard assumptions,Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk) — Unresolved-question passage on page 13,Cryptography,quarantined,individual_review,Neurčuje konkrétní užitečnou úlohu ani pevný předpoklad; jde o hledání další konstrukce aplikačního primitiva.,,,"Is there a PoUW scheme for useful operations from more standard or well-studied assumptions (e.g., program obfuscation)?",Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk),https://doi.org/10.4230/LIPIcs.ESA.2026.2
341,TCS-4830,Two randomized reducibilities for random-string complexity,Kolmogorov Complexity Characterizes Statistical Zero Knowledge — Unresolved-question passage on page 16,Cryptography,quarantined,individual_review,Jemné rozlišení redukcí pro jednu Kolmogorovovu množinu má menší dosah než obecné vztahy metakomplexity a kryptografie.,,,Is it the case that ≤BPP bf and BPP ≤circ reducibilities differ for RK ?,Kolmogorov Complexity Characterizes Statistical Zero Knowledge,https://doi.org/10.4230/LIPIcs.ITCS.2023.3
342,TCS-4840,A signature-dependent cohomological parameter,Cohomology in Constraint Satisfaction and Structure Isomorphism — Question 14,Cryptography,quarantined,individual_review,"Uložený výňatek obsahuje kvantifikátory nad signaturami a strukturami, ale chybí vlastní tvrzená vlastnost; samostatnou otázku nevymezuje.",,,"For every signature σ does there exists a k such that for all σ-structures A, B",Cohomology in Constraint Satisfaction and Structure Isomorphism,https://doi.org/10.4230/LIPIcs.MFCS.2022.75
343,TCS-4901,Probe-optimal reusable information-theoretic encryption,"Doubly-Affine Extractors, and Their Applications — Open Problem 1",Cryptography,quarantined,individual_review,Požaduje přesný probe-overhead v současně bezstavovém a opakovaně použitelném modelu; hlavní existenční a předpokladové bariéry mají přednost.,,,"Design practical, stateless and reusable IT-secure encryption schemes of m-bit messages with n-bit key and probe complexity p = m/β + o(m), where (1 − […]","Doubly-Affine Extractors, and Their Applications",https://doi.org/10.4230/LIPIcs.ITC.2021.13
344,TCS-4910,Hash-family failure at particular word sizes,"A Hash Table Without Hash Functions, and How to Get the Most Out of Your Random Bits — Explicit open question on PDF page 6",Cryptography,quarantined,individual_review,Zpřesňuje pravděpodobnost selhání jedné hashovací konstrukční otázky v konkrétním slovním režimu; obecné hashovací a kryptografické bariéry jsou širší.,,,"We conjecture that no such family of hash functions exists, and moreover, that a sub-polynomial failure probability is not possible for word sizes w = […]","A Hash Table Without Hash Functions, and How to Get the Most Out of Your Random Bits",https://doi.org/10.1109/FOCS54457.2022.00097
345,TCS-5074,Writable versus read-only card-based protocols,Barrington Plays Cards: The Complexity of Card-Based Protocols — Unresolved-question passage on page 11,Cryptography,quarantined,individual_review,Separace manipulací s fyzickými kartami je specializovaný model; standardní bezpečný výpočet má pro atlas podstatně větší prioritu.,,,We give examples of functions that can be computed by protocols modifying their input which we conjecture are outside of the read-only protocol class with […],Barrington Plays Cards: The Complexity of Card-Based Protocols,https://doi.org/10.4230/LIPIcs.STACS.2021.26
346,TCS-5137,Linear-resistant versus hinting PRGs,Randomness Recoverable Secret Sharing Schemes — Unresolved-question passage on page 20,Cryptography,quarantined,individual_review,"Vztah dvou odvozených primitiv je motivován jednou variantou secret sharingu; hlavní vztahy PRG, OWF a veřejnoklíčové kryptografie mají přednost.",,,"Despite the similarity between linear-resistant PRG and hinting PRG, the relationship between these primitives remains open, as is the (im)possibility of constructing linear-resistant PRG from […]",Randomness Recoverable Secret Sharing Schemes,https://doi.org/10.4230/LIPIcs.ITC.2023.12
347,TCS-5166,General access structures in probabilistic secret sharing,Probabilistic Secret Sharing — Explicit open question on PDF page 3,Cryptography,quarantined,individual_review,"Formulace pouze říká, že obecný případ není znám, ale neurčuje míru, bezpečnost ani cílovou velikost; konkrétní share-size bariéry jsou vhodnější.",,,"Unfortunately, for general access structures what can be done is still an open problem: for many access structures the known constructions deliver to the users […]",Probabilistic Secret Sharing,https://doi.org/10.4230/LIPIcs.MFCS.2018.64
348,TCS-6951,Further cryptography from fine-grained assumptions,"Construct further cryptographic primitives, including one-way functions, from fine-grained assumptions.",Cryptography,quarantined,individual_review,Bez konkrétní hypotézy a primitiva jde o výzkumný program. Jednotlivé přesné implikace by bylo možné hodnotit samostatně.,,,"Construct further cryptographic primitives, including one-way functions, from fine-grained assumptions.",On Some Fine-Grained Questions in Algorithms and Complexity,https://people.csail.mit.edu/virgi/
349,TCS-6986,Polycyclic conjugacy decision and a particular algorithm,"Determine polycyclic conjugacy-decision complexity, including the Eick–Ostheimer algorithm.",Cryptography,quarantined,individual_review,Mísí obecný rozhodovací problém s analýzou Eickova–Ostheimerova postupu; vedle ponechaného conjugacy-search cíle TCS-6985 mu další prioritu nedávám.,,TCS-6985,"Determine polycyclic conjugacy-decision complexity, including the Eick–Ostheimer algorithm.",Aspects of Nonabelian Group Based Cryptography: A Survey and Open Problems,https://arxiv.org/abs/1103.4093
350,TCS-6987,Complexity of polycyclic collection algorithms,Determine collection-algorithm complexity for polycyclic normal forms.,Cryptography,quarantined,individual_review,Analyzuje normalizační proceduru uvnitř konkrétní grupové reprezentace; obecná tvrdost základních grupových úloh má větší význam.,,,Determine collection-algorithm complexity for polycyclic normal forms.,Aspects of Nonabelian Group Based Cryptography: A Survey and Open Problems,https://arxiv.org/abs/1103.4093
351,TCS-0979,Modeling distributed computation,Modeling of Distributed Computation,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Samotné modelování oblasti není jedna vymezená otázka. Konkrétní separace modelů a zdrojové dolní meze atlas již obsahuje.,,,Modeling of Distributed Computation,Sublinear.info,https://sublinear.info/index.php?title=Open_Problems:27
