FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
STOC-2022-027 | approx | A subpolynomial approximation algorithm for graph crossing number in low-degree graphs
STOC-2022-028 | ds | Improved approximation guarantees for shortest superstrings using cycle classification by overlap to length ratios
STOC-2022-029 | sched | Flow time scheduling and prefix Beck-Fiala
STOC-2022-030 | approx | Bypassing the surface embedding: approximation schemes for network design in minor-free graphs
STOC-2022-031 | code | Locally testable codes with constant rate, distance, and locality
STOC-2022-032 | q | Asymptotically good Quantum and locally testable classical LDPC codes
STOC-2022-033 | alg | Ideals, determinants, and straightening: proving and using lower bounds for polynomial ideals
STOC-2022-034 | alg | Fast, algebraic multivariate multipoint evaluation in small characteristic and applications
STOC-2022-035 | alg | Set-multilinear and non-commutative formula lower bounds for iterated matrix multiplication
STOC-2022-036 | comb | Combinatorics via closed orbits: number theoretic Ramanujan graphs are not unique neighbor expanders
STOC-2022-037 | csp | On the complexity of CSP-based ideal membership problems
STOC-2022-038 | dist | Near-optimal distributed degree+1 coloring
STOC-2022-039 | dist | Distributed ∆-coloring plays hide-and-seek
STOC-2022-040 | dist | Undirected (1+𝜀)-shortest paths via minor-aggregates: near-optimal deterministic parallel and distributed algorithms
STOC-2022-041 | dist | Improved communication complexity of fault-tolerant consensus
STOC-2022-042 | dist | Byzantine agreement in polynomial time with near-optimal resilience
STOC-2022-043 | opt | No self-concordant barrier interior point method is strongly polynomial
STOC-2022-044 | opt | Improved iteration complexities for overconstrained p-norm regression
STOC-2022-045 | graph | Faster maxflow via improved dynamic spectral vertex sparsifiers
STOC-2022-046 | opt | Sparsified block elimination for directed laplacians
STOC-2022-047 | comb | Matrix anti-concentration inequalities with applications
STOC-2022-048 | cx | Circuits resilient to short-circuit errors
STOC-2022-049 | code | Explicit binary tree codes with sub-logarithmic size alphabet
STOC-2022-050 | code | Interactive error correcting codes over binary erasure channels resilient to > ½ adversarial corruption
STOC-2022-051 | cx | The query complexity of certification
STOC-2022-052 | comb | Matrix discrepancy from Quantum communication
STOC-2022-053 | comb | A new framework for matrix discrepancy: partial coloring bounds via mirror descent
STOC-2022-054 | alg | Uniform approximations for Randomized Hadamard Transforms with applications
STOC-2022-055 | avg | Testing thresholds for high-dimensional sparse random geometric graphs
STOC-2022-056 | csp | Algorithms and certificates for Boolean CSP refutation: smoothed is no harder than random
STOC-2022-057 | game | On the hardness of dominant strategy mechanism design
STOC-2022-058 | game | Computing simple mechanisms: Lift-and-round over marginal reduced forms
STOC-2022-059 | game | Approximately efficient bilateral trade
STOC-2022-060 | game | Pricing ordered items
STOC-2022-061 | game | Near-optimal no-regret learning for correlated equilibria in multi-player general-sum games
STOC-2022-062 | q | Hamiltonian complexity in the thermodynamic limit
STOC-2022-063 | q | Computational complexity of the ground state energy density problem
STOC-2022-064 | q | Optimizing strongly interacting fermionic Hamiltonians
STOC-2022-065 | crypto | Public-key Quantum money with a classical bank
STOC-2022-066 | crypto | Quantum garbled circuits
STOC-2022-067 | learn | Reproducibility in learning
STOC-2022-068 | learn | Kalman filtering with adversarial corruptions
STOC-2022-069 | online | Fast rates for nonparametric online learning: from realizability to learning in games
STOC-2022-070 | avg | Binary perceptron: efficient algorithms can find solutions in a rare well-connected cluster
STOC-2022-071 | learn | Learning general halfspaces with general Massart noise under the Gaussian distribution
STOC-2022-072 | param | Fast FPT-approximation of branchwidth
STOC-2022-073 | param | Lossy planarization: a constant-factor approximate kernelization for planar vertex deletion
STOC-2022-074 | param | Fixed-parameter tractability of graph isomorphism in graphs with an excluded minor
STOC-2022-075 | graph | Twin-width IV: ordered graphs and matrices
STOC-2022-076 | graph | Directed flow-augmentation
STOC-2022-077 | code | The optimal error resilience of interactive communication over binary channels
STOC-2022-078 | cx | The exact complexity of pseudorandom functions and the black-box natural proof barrier for bootstrapping results in computational complexity
STOC-2022-079 | csp | On approximability of satisfiable k-CSPs: I
STOC-2022-080 | csp | A characterization of approximability for biased CSPs
STOC-2022-081 | proof | Parallel repetition for all 3-player games over binary alphabet
STOC-2022-082 | cx | Constant inapproximability for PPA
STOC-2022-083 | count | Complexity classification of counting graph homomorphisms modulo a prime number
STOC-2022-084 | geom | Towards optimal lower bounds for k-median and k-means coresets
STOC-2022-085 | geom | Deterministic, near-linear 𝜀-approximation algorithm for geometric bipartite matching
STOC-2022-086 | ds | Locality-sensitive orderings and applications to reliable spanners
STOC-2022-087 | dist | Nearly optimal vertex fault-tolerant spanners in optimal time: sequential, distributed, and parallel
STOC-2022-088 | dyn | Maintaining exact distances under multiple edge failures
STOC-2022-089 | ds | Almost-optimal sublinear-time edit distance in the low distance regime
STOC-2022-090 | graph | Edge sampling and graph parameter estimation via vertex neighborhood accesses
STOC-2022-091 | alg | Low-rank approximation with 1/𝜖1/3 matrix-vector products
STOC-2022-092 | alg | Sublinear time spectral density estimation
STOC-2022-093 | online | Memory bounds for the experts problem
STOC-2022-094 | cx | A strong version of Cobham’s theorem
STOC-2022-095 | cx | 3.1n − o(n) circuit lower bounds for explicit functions
STOC-2022-096 | cx | The approximate degree of DNF and CNF formulas
STOC-2022-097 | proof | Verifying the unseen: interactive proofs for label-invariant distribution properties
STOC-2022-098 | comm | Randomized communication and implicit graph representations
STOC-2022-099 | learn | Robustly learning mixtures of k arbitrary Gaussians
STOC-2022-100 | learn | Clustering mixtures with almost optimal separation in polynomial time
STOC-2022-101 | learn | Clustering mixture models in almost-linear time via list-decodable mean estimation
STOC-2022-102 | learn | List-decodable covariance estimation
STOC-2022-103 | ds | On the optimal time/space tradeoff for hash tables
STOC-2022-104 | ds | An extendable data structure for incremental stable perfect hashing
STOC-2022-105 | graph | Almost-linear ε-emulators for planar graphs
STOC-2022-106 | dist | Hop-constrained expander decompositions, oblivious routing, and distributed universal optimality
STOC-2022-107 | graph | Optimal oblivious reconfigurable networks
STOC-2022-108 | crypto | Proving as fast as computing: succinct arguments with constant prover overhead
STOC-2022-109 | code | Rate one-third non-malleable codes
STOC-2022-110 | crypto | Deniable encryption in a Quantum world
STOC-2022-111 | dp | On the complexity of two-party differential privacy
STOC-2022-112 | dp | Efficient mean estimation with pure differential privacy via a sum-of-squares exponential mechanism
STOC-2022-113 | count | Entropic independence: optimal mixing of down-up random walks
STOC-2022-114 | count | Simple parallel algorithms for single-site dynamics
STOC-2022-115 | count | Low-temperature Ising dynamics with random initializations
STOC-2022-116 | count | Computational thresholds for the fixed-magnetization Ising model
STOC-2022-117 | count | Approximate counting and sampling via local central limit theorems
STOC-2022-118 | fg | Hardness of approximation in p via short cycle removal: cycle detection, distance oracles, and beyond
STOC-2022-119 | fg | Hardness for triangle problems under even more believable hypotheses: reductions from real APSP, real 3SUM, and OV
STOC-2022-120 | fg | Tight dynamic problem lower bounds from generalized BMM and OMv
STOC-2022-121 | fg | Faster min-plus product for monotone instances
STOC-2022-122 | count | Counting small induced subgraphs with hereditary properties
STOC-2022-123 | prg | Pseudodeterminism: promises and lowerbounds
STOC-2022-124 | avg | Worst-case to average-case reductions via additive combinatorics
STOC-2022-125 | prg | Robustness of average-case meta-complexity via pseudorandomness
STOC-2022-126 | prg | Extractors for sum of two sources
STOC-2022-127 | approx | Breaching the 2-approximation barrier for the forest augmentation problem
STOC-2022-128 | approx | An improved approximation algorithm for the minimum k-edge connected multi-subgraph problem
STOC-2022-129 | approx | Improved approximations for Euclidean k-means and k-median, via nested quasi-independent sets
STOC-2022-130 | learn | Explainable k-means: don’t be greedy, plant bigger trees!
STOC-2022-131 | dyn | Subquadratic dynamic path reporting in directed graphs against an adaptive adversary
STOC-2022-132 | ds | Dynamic suffix array with polylogarithmic queries and updates
STOC-2022-133 | general | Dynamic algorithms against an adaptive adversary: generic constructions and lower bounds
STOC-2022-134 | opt | On the complexity of dynamic submodular maximization
STOC-2023-001 | prg | Almost Chor-Goldreich Sources and Adversarial Random Walks
STOC-2023-002 | comb | A New Berry-Esseen Theorem for Expander Walks
STOC-2023-003 | prg | Near-Optimal Derandomization of Medium-Width Branching Programs
STOC-2023-004 | prg | Approximating Iterated Multiplication of Stochastic Matrices in Small Space
STOC-2023-005 | prg | Extractors for Images of Varieties
STOC-2023-006 | prg | When Arthur Has Neither Random Coins Nor Time to Spare: Superfast Derandomization of Proof Systems
STOC-2023-007 | avg | Hardness Self-Amplification: Simplified, Optimized, and Unified
STOC-2023-008 | proof | Sum-of-Squares Lower Bounds for Densest k-Subgraph
STOC-2023-009 | learn | Exact Phase Transitions for Stochastic Block Models and Reconstruction on Trees
STOC-2023-010 | count | Parallel Discrete Sampling via Continuous Walks
STOC-2023-011 | opt | Sampling from Convex Sets with a Cold Start using Multiscale Decompositions
STOC-2023-012 | dyn | On Regularity Lemma and Barriers in Streaming and Dynamic Matching
STOC-2023-013 | stream | Optimal Eigenvalue Approximation via Sketching
STOC-2023-014 | stream | Streaming Euclidean MST to a Constant Factor
STOC-2023-015 | stream | Streaming Euclidean Max-Cut: Dimension vs Data Reduction
STOC-2023-016 | stream | (Noisy) Gap Cycle Counting Strikes Back: Random Order Streaming Lower Bounds for Connected Components and Beyond
STOC-2023-017 | graph | Chaining, Group Leverage Score Overestimates, and Fast Spectral Hypergraph Sparsification
STOC-2023-018 | graph | Spectral Hypergraph Sparsification via Chaining
STOC-2023-019 | stream | Locally Consistent Decomposition of Strings with Applications to Edit Distance Sketching
STOC-2023-020 | test | Directed Isoperimetric Theorems for Boolean Functions on the Hypergrid and an Õ(n√d) Monotonicity Tester
STOC-2023-021 | online | Stochastic Minimum Vertex Cover in General Graphs: A 3/2-Approximation
STOC-2023-022 | approx | Sublinear Algorithms for (1.5+𝜖)-Approximate Matching
STOC-2023-023 | approx | Sublinear Time Algorithms and Complexity of Approximate Maximum Matching
STOC-2023-024 | graph | Almost-Optimal Sublinear Additive Spanners
STOC-2023-025 | graph | A Unified Framework for Light Spanners
STOC-2023-026 | approx | New Algorithms for All Pairs Approximate Shortest Paths
STOC-2023-027 | dist | Parallel Breadth-First Search and Exact Shortest Paths and Stronger Notions for Approximate Distances
STOC-2023-028 | learn | A New Approach to Learning Linear Dynamical Systems
STOC-2023-029 | online | Planning and Learning in Partially Observable Systems via Filter Stability
STOC-2023-030 | online | Optimistic MLE: A Generic Model-Based Algorithm for Partially Observable Sequential Decision Making
STOC-2023-031 | ds | Weighted Edit Distance Computation: Strings, Trees, and Dyck
STOC-2023-032 | fg | Stronger 3-SUM Lower Bounds for Approximate Distance Oracles via Additive Combinatorics
STOC-2023-033 | fg | Removing Additive Structure in 3SUM-Based Reductions
STOC-2023-034 | fg | Fredman’s Trick Meets Dominance Product: Fine-Grained Complexity of Unweighted APSP, 3SUM Counting, and More
STOC-2023-035 | alg | Faster Isomorphism for 𝑝-Groups of Class 2 and Exponent 𝑝
STOC-2023-036 | alg | Linear Independence, Alternants, and Applications
STOC-2023-037 | alg | Faster Walsh-Hadamard and Discrete Fourier Transforms from Matrix Non-rigidity
STOC-2023-038 | comm | A Borsuk-Ulam Lower Bound for Sign-Rank and Its Applications
STOC-2023-039 | dp | Optimal Differentially Private Learning of Thresholds and Quasi-Concave Optimization
STOC-2023-040 | dp | Privately Estimating a Gaussian: Efficient, Robust, and Optimal
STOC-2023-041 | dp | Robustness Implies Privacy in Statistical Estimation
STOC-2023-042 | dp | Concurrent Composition Theorems for Differential Privacy
STOC-2023-043 | dp | Stability Is Stable: Connections between Replicability, Privacy, and Adaptive Generalization
STOC-2023-044 | param | An Improved Parameterized Algorithm for Treewidth
STOC-2023-045 | param | The Complexity of Pattern Counting in Directed Graphs, Parameterised by the Outdegree
STOC-2023-046 | lattice | Parameterized Inapproximability of the Minimum Distance Problem over All Fields and the Shortest Vector Problem in All ℓp Norms
STOC-2023-047 | verify | First-Order Model Checking on Structurally Sparse Graph Classes
STOC-2023-048 | online | The Randomized 𝑘-Server Conjecture Is False!
STOC-2023-049 | crypto | Doubly Efficient Private Information Retrieval and Fully Homomorphic RAM Computation from Ring LWE
STOC-2023-050 | csp | SDPs and Robust Satisfiability of Promise CSP
STOC-2023-051 | approx | Approximate Graph Colouring and the Hollow Shadow
STOC-2023-052 | csp | On Approximability of Satisfiable k-CSPs: II
STOC-2023-053 | csp | On Approximability of Satisfiable k-CSPs: III
STOC-2023-054 | comb | An Analogue of Bonami’s Lemma for Functions on Spaces of Linear Maps, and 2-2 Games
STOC-2023-055 | comb | Noise Stability on the Boolean Hypercube via a Renormalized Brownian Motion
STOC-2023-056 | game | A Proof of the Nisan-Ronen Conjecture
STOC-2023-057 | game | A Constant Factor Prophet Inequality for Online Combinatorial Auctions
STOC-2023-058 | game | Complexity of Equilibria in First-Price Auctions under General Tie-Breaking Rules
STOC-2023-059 | game | Computing Better Approximate Pure Nash Equilibria in Cut Games via Semidefinite Programming
STOC-2023-060 | game | Credible Decentralized Exchange Design via Verifiable Sequencing Rules
STOC-2023-061 | game | On the Optimal Fixed-Price Mechanism in Bilateral Trade
STOC-2023-062 | game | Improved Approximation Ratios of Fixed-Price Mechanisms in Bilateral Trades
STOC-2023-063 | online | Improved and Deterministic Online Service with Deadlines or Delay
STOC-2023-064 | online | Online Unrelated-Machine Load Balancing and Generalized Flow with Recourse
STOC-2023-065 | online | Pandora Box Problem with Nonobligatory Inspection: Hardness and Approximation Scheme
STOC-2023-066 | online | Pandora’s Problem with Nonobligatory Inspection: Optimal Structure and a PTAS
STOC-2023-067 | geom | Local and Global Expansion in Random Geometric Graphs
STOC-2023-068 | comb | New High Dimensional Expanders from Covers
STOC-2023-069 | graph | Towards the Erdős-Gallai Cycle Decomposition Conjecture
STOC-2023-070 | comb | An Optimal “It Ain’t Over Till It’s Over” Theorem
STOC-2023-071 | cx | Randomized versus Deterministic Decision Tree Size
STOC-2023-072 | cx | Optimal Explicit Small-Depth Formulas for the Coin Problem
STOC-2023-073 | cx | Depth-𝑑 Threshold Circuits vs. Depth-(𝑑+1) AND-OR Trees
STOC-2023-074 | q | Good Quantum LDPC Codes with Linear Time Decoders
STOC-2023-075 | q | An Efficient Decoder for a Linear Distance Quantum LDPC Code
STOC-2023-076 | q | Certified Randomness from Quantum Supremacy
STOC-2023-077 | q | A Polynomial-Time Classical Algorithm for Noisy Random Circuit Sampling
STOC-2023-078 | comb | Nearly All 𝑘-SAT Functions Are Unate
STOC-2023-079 | graph | Kneser Graphs Are Hamiltonian
STOC-2023-080 | comb | Random Walks on Rotating Expanders
STOC-2023-081 | comb | Algorithmic Applications of Hypergraph and Partition Containers
STOC-2023-082 | learn | Subsampling Suffices for Adaptive Data Analysis
STOC-2023-083 | graph | The Power of Multi-step Vizing Chains
STOC-2023-084 | crypto | Capturing One-Way Functions via NP-Hardness of Meta-Complexity
STOC-2023-085 | crypto | A Duality between One-Way Functions and Average-Case Symmetry of Information
STOC-2023-086 | proof | Unprovability of Strong Complexity Lower Bounds in Bounded Arithmetic
STOC-2023-087 | cx | Range Avoidance, Remote Point, and Hard Partial Truth Table via Satisfying-Pairs Algorithms
STOC-2023-088 | cx | NP-Hardness of Approximating Meta-Complexity: A Cryptographic Approach
STOC-2023-089 | crypto | Indistinguishability Obfuscation, Range Avoidance, and Bounded Arithmetic
STOC-2023-090 | q | NLTS Hamiltonians from Good Quantum Codes
STOC-2023-091 | q | Memory-Sample Lower Bounds for Learning with Classical-Quantum Hybrid Memory
STOC-2023-092 | q | Quantum Depth in the Random Oracle Model
STOC-2023-093 | q | Multidimensional Quantum Walks
STOC-2023-094 | q | Mind the Gap: Achieving a Super-Grover Quantum Speedup by Jumping to the End
STOC-2023-095 | ds | Approximating Binary Longest Common Subsequence in Almost-Linear Time
STOC-2023-096 | dyn | A New Deterministic Algorithm for Fully Dynamic All-Pairs Shortest Paths
STOC-2023-097 | dyn | Deterministic Incremental APSP with Polylogarithmic Update Time and Stretch
STOC-2023-098 | approx | Dynamic ((1+𝜖) ln 𝑛)-Approximation Algorithms for Minimum Set Cover and Dominating Set
STOC-2023-099 | dyn | Improved Dynamic Colouring of Sparse Graphs
STOC-2023-100 | dyn | Dynamic Maxflow via Dynamic Interior Point Methods
STOC-2023-101 | opt | Fast Algorithms via Dynamic-Oracle Matroids
STOC-2023-102 | crypto | Hard Languages in NP ∩ coNP and NIZK Proofs from Unstructured Hardness
STOC-2023-103 | cx | On the Consistency of Circuit Lower Bounds for Non-deterministic Time
STOC-2023-104 | top | Shellability Is Hard Even for Balls
STOC-2023-105 | count | The Complexity of Counting Planar Graph Homomorphisms of Domain Size 3
STOC-2023-106 | game | Approximating Nash Social Welfare by Matching and Local Search
STOC-2023-107 | game | Multi-agent Contracts
STOC-2023-108 | approx | Approximate Max-Flow Min-Multicut Theorem for Graphs of Bounded Treewidth
STOC-2023-109 | sched | A PTAS for Minimizing Weighted Flow Time on a Single Machine
STOC-2023-110 | avg | Random Graph Matching at Otter’s Threshold via Counting Chandeliers
STOC-2023-111 | count | Uniformly Random Colourings of Sparse Graphs
STOC-2023-112 | dist | Maximum Length-Constrained Flows and Disjoint Paths: Distributed, Deterministic, and Fast
STOC-2023-113 | fg | Tight Conditional Lower Bounds for Vertex Connectivity Problems
STOC-2023-114 | dyn | Approximate Distance Sensitivity Oracles in Subquadratic Space
STOC-2023-115 | ds | External Memory Fully Persistent Search Trees
STOC-2023-116 | code | The Rate of Interactive Codes Is Bounded Away from 1
STOC-2023-117 | code | A Near-Cubic Lower Bound for 3-Query Locally Decodable Codes from Semirandom CSP Refutation
STOC-2023-118 | code | Efficient Interactive Coding Achieving Optimal Error Resilience over the Binary Channel
STOC-2023-119 | code | A High Dimensional Goldreich-Levin Theorem
STOC-2023-120 | code | Binary Error-Correcting Codes with Minimal Noiseless Feedback
STOC-2023-121 | code | Generic Reed-Solomon Codes Achieve List-Decoding Capacity
STOC-2023-122 | general | Optimal Bounds for Noisy Sorting
STOC-2023-123 | lattice | Lattice Problems beyond Polynomial Time
STOC-2023-124 | crypto | The Round Complexity of Statistical MPC with Optimal Resiliency
STOC-2023-125 | crypto | Constant-Round Arguments from One-Way Functions
STOC-2023-126 | crypto | Boosting Batch Arguments and RAM Delegation
STOC-2023-127 | crypto | Succinct Computational Secret Sharing
STOC-2023-128 | crypto | Obfuscation of Pseudo-Deterministic Quantum Circuits
STOC-2023-129 | crypto | Commitments to Quantum States
STOC-2023-130 | crypto | Quantum Cryptography in Algorithmica
STOC-2023-131 | q | Quantum Free Games
STOC-2023-132 | q | Quantum Advantage from Any Non-local Game
STOC-2023-133 | q | The Power of Unentangled Quantum Proofs with Non-negative Amplitudes
STOC-2023-134 | test | Testing Distributional Assumptions of Learning Algorithms
STOC-2023-135 | learn | A Moment-Matching Approach to Testable Learning and a New Characterization of Rademacher Complexity
STOC-2023-136 | learn | Learning Polynomial Transformations via Generalized Tensor Decompositions
STOC-2023-137 | avg | Average-Case Complexity of Tensor Decomposition for Low-Degree Polynomials
STOC-2023-138 | learn | What Makes a Good Fisherman? Linear Regression under Self-Selection Bias
STOC-2023-139 | learn | A Characterization of List Learnability
STOC-2023-140 | learn | A Unifying Theory of Distance from Calibration
STOC-2023-141 | learn | A Strongly Polynomial Algorithm for Approximate Forster Transforms and Its Application to Halfspace Learning
STOC-2023-142 | learn | Lifting Uniform Learners via Distributional Decomposition
STOC-2023-143 | geom | Hausdorff and Gromov-Hausdorff Stable Subsets of the Medial Axis
STOC-2023-144 | dist | Faster Deterministic Distributed MIS and Approximate Matching
STOC-2023-145 | dist | Finding a Small Vertex Cut on Distributed Networks
STOC-2023-146 | alg | New Subset Selection Algorithms for Low Rank Approximation: Offline and Online
STOC-2023-147 | comb | Resolving Matrix Spencer Conjecture Up to Poly-logarithmic Rank
STOC-2023-148 | approx | A (1.5+ε)-Approximation Algorithm for Weighted Connectivity Augmentation
STOC-2023-149 | graph | Cheeger Inequalities for Directed Graphs and Hypergraphs using Reweighted Eigenvalues
STOC-2023-150 | approx | An Improved Approximation Guarantee for Prize-Collecting TSP
STOC-2023-151 | game | Better Trees for Santa Claus
STOC-2023-152 | opt | Interior Point Methods with a Gradient Oracle
STOC-2023-153 | opt | The Smoothed Complexity of Policy Iteration for Markov Decision Processes
STOC-2023-154 | opt | Upper and Lower Bounds on the Smoothed Complexity of the Simplex Method
STOC-2023-155 | avg | Algorithms Approaching the Threshold for Semi-random Planted Clique
STOC-2024-001 | graph | Single-Source Shortest Paths with Negative Real Weights in Õ(𝑚𝑛8/9) Time
STOC-2024-002 | proof | Near Optimal Alphabet-Soundness Tradeoff PCPs
STOC-2024-003 | param | Parameterized Inapproximability Hypothesis under Exponential Time Hypothesis
STOC-2024-004 | online | Online Edge Coloring Is (Nearly) as Easy as Offline
STOC-2024-005 | approx | Approximate Earth Mover’s Distance in Truly-Subquadratic Time
STOC-2024-006 | dyn | Near-Optimal Dynamic Rounding of Fractional Matchings in Bipartite Graphs
STOC-2024-007 | graph | Low-Step Multi-commodity Flow Emulators
STOC-2024-008 | graph | Maximum Bipartite Matching in 𝑛2+𝑜(1) Time via a Combinatorial Algorithm
STOC-2024-009 | alg | Strong Algebras and Radical Sylvester-Gallai Configurations
STOC-2024-010 | alg | Black-Box Identity Testing of Noncommutative Rational Formulas in Deterministic Quasipolynomial Time
STOC-2024-011 | alg | The Minimal Faithful Permutation Degree of Groups without Abelian Normal Subgroups
STOC-2024-012 | alg | Learning the Coefficients: A Presentable Version of Border Complexity and Applications to Circuit Factoring
STOC-2024-013 | alg | On the Power of Homogeneous Algebraic Formulas
STOC-2024-014 | learn | Super Non-singular Decompositions of Polynomials and Their Application to Robustly Learning Low-Degree PTFs
STOC-2024-015 | learn | Calibrated Language Models Must Hallucinate
STOC-2024-016 | dp | Private Graphon Estimation via Sum-of-Squares
STOC-2024-017 | online | Exploring and Learning in Sparse Linear MDPs without Computationally Intractable Oracles
STOC-2024-018 | learn | Near-Optimal Mean Estimation with Unknown, Heteroskedastic Variances
STOC-2024-019 | game | The Power of Two-Sided Recruitment in Two-Sided Markets
STOC-2024-020 | game | Strategic Budget Selection in a Competitive Autobidding World
STOC-2024-021 | game | The Role of Transparency in Repeated First-Price Auctions with Unknown Valuations
STOC-2024-022 | game | Bilateral Trade with Correlated Values
STOC-2024-023 | online | No-Regret Learning in Bilateral Trade via Global Budget Balance
STOC-2024-024 | param | Knapsack with Small Items in Near-Quadratic Time
STOC-2024-025 | param | 0-1 Knapsack in Nearly Quadratic Time
STOC-2024-026 | approx | A Nearly Quadratic-Time FPTAS for Knapsack
STOC-2024-027 | approx | (1 − 𝜀)-Approximation of Knapsack in Nearly Quadratic Time
STOC-2024-028 | approx | Approximating Partition in Near-Linear Time
STOC-2024-029 | approx | Approximating Small Sparse Cuts
STOC-2024-030 | graph | Better Coloring of 3-Colorable Graphs
STOC-2024-031 | test | Testing Closeness of Multivariate Distributions via Ramsey Theory
STOC-2024-032 | learn | Semidefinite Programs Simulate Approximate Message Passing Robustly
STOC-2024-033 | avg | Planted Clique Conjectures Are Equivalent
STOC-2024-034 | learn | Robust Recovery for Stochastic Block Models, Simplified and Generalized
STOC-2024-035 | comb | New Tools for Smoothed Analysis: Least Singular Value Bounds for Random Matrices with Dependent Entries
STOC-2024-036 | crypto | Adaptively-Sound Succinct Arguments for NP from Indistinguishability Obfuscation
STOC-2024-037 | crypto | A New Approach for Non-Interactive Zero-Knowledge from Learning with Errors
STOC-2024-038 | dist | Optimal Load-Balanced Scalable Distributed Agreement
STOC-2024-039 | crypto | Quantum Oblivious LWE Sampling and Insecurity of Standard Model Lattice-Based SNARKs
STOC-2024-040 | crypto | Batch Proofs Are Statistically Hiding
STOC-2024-041 | fg | Approximating Maximum Matching Requires Almost Quadratic Time
STOC-2024-042 | game | Structural Complexities of Matching Mechanisms
STOC-2024-043 | game | A Constant-Factor Approximation for Nash Social Welfare with Subadditive Valuations
STOC-2024-044 | online | Limitations of Stochastic Selection Problems with Pairwise Independent Priors
STOC-2024-045 | online | Prophet Inequalities Require Only a Constant Number of Samples
STOC-2024-046 | learn | A Unified Approach to Learning Ising Models: Beyond Independence and Bounded Width
STOC-2024-047 | count | Nonlinear Dynamics for the Ising Model
STOC-2024-048 | count | Influences in Mixing Measures
STOC-2024-049 | count | Parallel Sampling via Counting
STOC-2024-050 | avg | On the Fourier Coefficients of High-Dimensional Random Geometric Graphs
STOC-2024-051 | q | Classical Simulation of Peaked Shallow Quantum Circuits
STOC-2024-052 | q | Quantum and Classical Query Complexities of Functions of Matrices
STOC-2024-053 | q | Circuit-to-Hamiltonian from Tensor Networks and Fault Tolerance
STOC-2024-054 | q | Quantum Time-Space Tradeoffs for Matrix Problems
STOC-2024-055 | q | Quadratic Lower Bounds on the Approximate Stabilizer Rank: A Probabilistic Approach
STOC-2024-056 | cx | Hardness of Range Avoidance and Remote Point for Restricted Circuits via Cryptography
STOC-2024-057 | comm | Communication Lower Bounds for Collision Problems via Density Increment Arguments
STOC-2024-058 | proof | Lower Bounds for Regular Resolution over Parities
STOC-2024-059 | comm | XOR Lemmas for Communication via Marginal Information
STOC-2024-060 | ds | Beating Brute Force for Compression Problems
STOC-2024-061 | opt | Optimization with Pattern-Avoiding Input
STOC-2024-062 | graph | Maximum Weight Independent Set in Graphs with no Long Claws in Quasi-Polynomial Time
STOC-2024-063 | graph | Packing Even Directed Circuits Quarter-Integrally
STOC-2024-064 | graph | Edge-Disjoint Paths in Eulerian Digraphs
STOC-2024-065 | graph | A Flat Wall Theorem for Matching Minors in Bipartite Graphs
STOC-2024-066 | code | Generalized GM-MDS: Polynomial Codes Are Higher Order MDS
STOC-2024-067 | code | AG Codes Achieve List Decoding Capacity over Constant-Sized Fields
STOC-2024-068 | code | Constant Query Local Decoding against Deletions Is Impossible
STOC-2024-069 | code | Local Correction of Linear Functions over the Boolean Cube
STOC-2024-070 | code | An Exponential Lower Bound for Linear 3-Query Locally Correctable Codes
STOC-2024-071 | comb | Explicit Two-Sided Unique-Neighbor Expanders
STOC-2024-072 | ds | Data-Dependent LSH for the Earth Mover’s Distance
STOC-2024-073 | sched | Polylog-Competitive Deterministic Local Routing and Scheduling
STOC-2024-074 | ds | Connectivity Labeling and Routing with Multiple Vertex Failures
STOC-2024-075 | stream | Optimal Multi-pass Lower Bounds for MST in Dynamic Streams
STOC-2024-076 | stream | O(log log n) Passes Is Optimal for Semi-streaming Maximal Independent Set
STOC-2024-077 | fg | The Asymptotic Rank Conjecture and the Set Cover Conjecture Are Not Both True
STOC-2024-078 | fg | A Stronger Connection between the Asymptotic Rank Conjecture and the Set Cover Conjecture
STOC-2024-079 | geom | Equality Cases of the Alexandrov–Fenchel Inequality Are Not in the Polynomial Hierarchy
STOC-2024-080 | alg | Semigroup Algorithmic Problems in Metabelian Groups
STOC-2024-081 | cx | The Complexity of Computing KKT Solutions of Quadratic Programs
STOC-2024-082 | geom | Minimum Star Partitions of Simple Polygons in Polynomial Time
STOC-2024-083 | dist | Revisiting Local Computation of PageRank: Simple and Optimal
STOC-2024-084 | count | Towards Optimal Output-Sensitive Clique Listing or: Listing Cliques from Smaller Cliques
STOC-2024-085 | alg | New Graph Decompositions and Combinatorial Boolean Matrix Multiplication Algorithms
STOC-2024-086 | ds | Nearly Optimal Fault Tolerant Distance Oracle
STOC-2024-087 | stream | Almost Linear Size Edit Distance Sketch
STOC-2024-088 | crypto | Commitments from Quantum One-Wayness
STOC-2024-089 | crypto | A One-Query Lower Bound for Unitary Synthesis and Breaking Quantum Cryptography
STOC-2024-090 | crypto | Two Prover Perfect Zero Knowledge for MIP*
STOC-2024-091 | crypto | How to Use Quantum Indistinguishability Obfuscation
STOC-2024-092 | crypto | Quantum State Obfuscation from Classical Oracles
STOC-2024-093 | q | Nonlocality under Computational Assumptions
STOC-2024-094 | learn | Detecting Low-Degree Truncation
STOC-2024-095 | test | Optimal Non-adaptive Tolerant Junta Testing via Local Estimators
