rank,researcher,slot,id,title,area,action,affinity,status,evidence,formulation_status,formulation_reviewed_on,current_batch_scope,researcher_bibliography,problem_sources
100,Jan Vondrák,2,TCS-7316,Matroid secretary conjecture,Online algorithms,reused,Matroid secretary connects his work on matroids and stochastic optimization.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/29/5942.html,https://arxiv.org/abs/2305.05353
101,Saket Saurabh,1,TCS-6379,Polynomial kernels for Directed Feedback Vertex Set,Parameterized and exact algorithms,reused,Polynomial DFVS kernels connect his kernelization and directed-graph research.,open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/11/5491.html,https://doi.org/10.4230/LIPIcs.STACS.2016.55; https://doi.org/10.1145/3711669
101,Saket Saurabh,2,TCS-7022,Polynomial kernels for Planar Deletion,Parameterized and exact algorithms,reused,Planar-deletion kernels concern his parameterized structural graph work.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/11/5491.html,https://arxiv.org/abs/2001.06867
102,Fedor Fomin,1,TCS-7023,Polynomial kernels for H-minor-free Deletion,Parameterized and exact algorithms,reused,Minor-free-deletion kernels extend his parameterized graph algorithms.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/f/FedorVFomin.html,https://arxiv.org/abs/2001.06867
102,Fedor Fomin,2,TCS-6728,Chromatic number in \(2^{n}\) time and polynomial space,Parameterized and exact algorithms,reused,Polynomial-space chromatic-number algorithms concern his exact-exponential algorithm research.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/f/FedorVFomin.html,https://parameterized-algorithms.mimuw.edu.pl/
103,Michal Pilipczuk,1,TCS-7312,Fixed-parameter tractability of graph isomorphism by rank-width,Parameterized and exact algorithms,reused,Rank-width parameterized isomorphism connects his structural graph and logic work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/61/8036.html,https://epub.uni-regensburg.de/78630/1/1-s2.0-S1574013726000274-main.pdf
103,Michal Pilipczuk,2,TCS-7241,FPT approximation of twin-width,Parameterized and exact algorithms,reused,FPT twin-width approximation concerns the graph decompositions he studies.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/61/8036.html,https://perso.ens-lyon.fr/edouard.bonnet/openQuestions.html; https://arxiv.org/abs/2501.00991
104,Marcin Pilipczuk,1,TCS-7035,Single-exponential FPT for directed feedback sets,Parameterized and exact algorithms,reused,Single-exponential directed feedback algorithms connect his parameterized algorithms.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/09/4636.html,https://arxiv.org/abs/2001.06867
104,Marcin Pilipczuk,2,TCS-7036,Parameterized complexity of three-pair Directed Edge Multicut,Parameterized and exact algorithms,reused,Directed edge multicut with three pairs concerns his directed cut-complexity work.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/09/4636.html,https://arxiv.org/abs/2001.06867
105,Robert Krauthgamer,1,TCS-6525,Gupta–Newman–Rabinovich–Sinclair conjecture,Computational geometry and metric spaces,reused,GNRS is central to his metric-embedding and graph-approximation work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/RobertKrauthgamer.html,https://people.eecs.berkeley.edu/~sinclair/cuts.pdf; https://arxiv.org/abs/0910.1409; https://www.wisdom.weizmann.ac.il/~robi/papers/CKR-TreewidthSparsestCut-APPROX10.pdf; https://arxiv.org/abs/1903.02758; https://arxiv.org/abs/2602.23745; https://courses.grainger.illinois.edu/CS583/sp2026/approx-algorithms-lecture-notes.pdf
105,Robert Krauthgamer,2,TCS-7297,Optimal \(\ell\)\(_{1}\) distortion of edit distance,String algorithms and bioinformatics,reused,L1 embedding of edit distance connects his sketching and metric-complexity research.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/RobertKrauthgamer.html,https://doi.org/10.1145/1060590.1060623
106,Sanjeev Khanna,1,TCS-6587,Constant-factor approximation for Densest k-Subgraph,Approximation algorithms and hardness of approximation,reused,Densest k-subgraph concerns his approximation-algorithm research.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/SanjeevKhanna.html,https://arxiv.org/abs/1001.2891; https://arxiv.org/abs/1110.1360; https://arxiv.org/abs/1611.05991; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2023.38; https://ojs.aaai.org/index.php/AAAI/article/view/38562; https://arxiv.org/abs/2605.25464
106,Sanjeev Khanna,2,TCS-6556,Directed reachability with nearly linear memory and polylogarithmic passes,"Distributed, parallel and sublinear algorithms",reused,Space-efficient directed reachability connects his graph-streaming work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/k/SanjeevKhanna.html,https://par.nsf.gov/servlets/purl/10488812; https://eccc.weizmann.ac.il/report/2013/002/revision/3/download/; https://arxiv.org/abs/1905.08841; https://arxiv.org/abs/2011.03495; https://par.nsf.gov/servlets/purl/10315017; https://arxiv.org/abs/2608.07073v2
107,Mika Göös,1,TCS-6603,Log-rank conjecture,Communication complexity and Boolean function analysis,reused,Log-rank is a central communication-complexity barrier related to his lifting research.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/25/7589.html,https://arxiv.org/abs/2510.02583v3; https://doi.org/10.1007/s10107-024-02117-9; https://doi.org/10.1137/16M1059369; https://arxiv.org/abs/2608.01812v1
107,Mika Göös,2,TCS-6710,Number-on-forehead Disjointness complexity,Communication complexity and Boolean function analysis,reused,Multiparty disjointness concerns his communication lower-bound program.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/25/7589.html,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf; https://web.vu.lt/mif/s.jukna/boolean/index.html
108,Rahul Santhanam,1,TCS-7161,NEXP versus nonuniform \(\mathrm{TC}^{0}\),Computational complexity,reused,NEXP versus TC0 continues his circuit-lower-bound work.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/84/1179.html,https://doi.org/10.1109/CCC.2011.36; https://en.wikipedia.org/wiki/Circuit_complexity; https://en.wikipedia.org/w/index.php?oldid=1328197464; https://people.csail.mit.edu/rrw/acc-lbs-ccc.pdf; https://eccc.weizmann.ac.il/report/2026/039/; https://eccc.weizmann.ac.il/report/2026/167/; https://eccc.weizmann.ac.il/report/2026/118/
108,Rahul Santhanam,2,TCS-4786,Complexity of Minimum Circuit Size,Computational complexity,reused,MCSP concerns his meta-complexity and hardness-magnification research.,uncertain,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/84/1179.html,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2023.31; https://doi.org/10.4230/LIPIcs.STACS.2026.23; https://doi.org/10.4230/LIPIcs.CCC.2023.31
109,Shubhangi Saraf,1,TCS-6888,Superpolynomial arithmetic formula lower bounds,Algebraic computation,reused,General arithmetic formula lower bounds extend her algebraic-complexity work.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/75/7249.html,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf
109,Shubhangi Saraf,2,TCS-1011,Full-length Reed–Solomon list decoding beyond Johnson,Coding and information theory,reused,Reed-Solomon decoding concerns her algorithmic coding research.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/75/7249.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
110,Amir Shpilka,1,TCS-0005,VP versus VNP,Algebraic computation,reused,VP versus VNP is a foundational target of his arithmetic-circuit work.,source_open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/11/3816.html,https://www.math.ias.edu/files/mathandcomp.pdf; https://doi.org/10.1145/800135.804419; https://eccc.weizmann.ac.il/report/2021/081/; https://eccc.weizmann.ac.il/report/2026/138/
110,Amir Shpilka,2,TCS-7113,Derandomizing polynomial identity testing,Algebraic computation,reused,PIT derandomization is directly in his algebraic-algorithm program.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/11/3816.html,https://arxiv.org/abs/2309.17042
111,Swastik Kopparty,1,TCS-1020,Polynomial-length constant-query locally decodable codes,Coding and information theory,reused,Constant-query local decoding continues his algebraic coding work.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/80/4866.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
111,Swastik Kopparty,2,TCS-6614,Deterministic polynomial-time factorization over finite fields,Algebraic computation,reused,Deterministic finite-field factorization connects his algebraic algorithms and pseudorandomness research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/80/4866.html,https://arxiv.org/abs/2509.12705; https://people.csail.mit.edu/dmoshkov/courses/codes/poly-factorization.pdf; https://zeyuguo.bitbucket.io/papers/pscheme.pdf; https://arxiv.org/abs/2511.10851; https://eccc.weizmann.ac.il/report/2026/036/
112,Pavel Panteleev,1,TCS-6515,Asymptotically good quantum locally testable stabilizer codes,Quantum computation,reused,Good quantum locally testable codes are a main frontier after his good quantum LDPC breakthrough.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/156/0010.html,https://quantum-journal.org/papers/q-2024-10-18-1501/; https://arxiv.org/abs/2111.03654; https://www.nature.com/articles/s41534-024-00908-8; https://arxiv.org/abs/2402.07476; https://arxiv.org/abs/2206.13228; https://arxiv.org/abs/2604.01874; https://arxiv.org/abs/2606.09588
112,Pavel Panteleev,2,TCS-6446,Quantum PCP conjecture,Quantum computation,reused,Quantum PCP is the central quantum-verification question linked to these local-code constructions.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/156/0010.html,https://arxiv.org/abs/1309.7495; https://eccc.weizmann.ac.il/report/2026/150/
113,Gleb Kalachev,1,TCS-6515,Asymptotically good quantum locally testable stabilizer codes,Quantum computation,reused,Good quantum local testability extends his quantum LDPC construction work.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/239/5980.html,https://quantum-journal.org/papers/q-2024-10-18-1501/; https://arxiv.org/abs/2111.03654; https://www.nature.com/articles/s41534-024-00908-8; https://arxiv.org/abs/2402.07476; https://arxiv.org/abs/2206.13228; https://arxiv.org/abs/2604.01874; https://arxiv.org/abs/2606.09588
113,Gleb Kalachev,2,TCS-6446,Quantum PCP conjecture,Quantum computation,reused,Quantum PCP connects the local constraints and expansion in his quantum codes to Hamiltonian complexity.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/239/5980.html,https://arxiv.org/abs/1309.7495; https://eccc.weizmann.ac.il/report/2026/150/
114,Li-Yang Tan,1,TCS-6600,Optimal explicit pseudorandom generators for read-once branching programs,Pseudorandomness and derandomization,reused,Optimal branching-program generators are central to his derandomization research.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/87/5034.html,https://mathweb.ucsd.edu/~sbuss/CourseWeb/Math268_2013W/Nisan_PRG.pdf; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.APPROX/RANDOM.2021.28; https://theoryofcomputing.org/articles/v018a021/; https://epubs.siam.org/doi/10.1137/1.9781611978971.124; https://eccc.weizmann.ac.il/report/2026/064/; https://eccc.weizmann.ac.il/report/2026/123/
114,Li-Yang Tan,2,TCS-7294,Learning decision trees from uniform random examples in polynomial time,Learning theory,reused,Uniform decision-tree learning connects his learning and Boolean-analysis work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/87/5034.html,https://arxiv.org/abs/0812.0933; https://doi.org/10.4230/LIPIcs.ITCS.2025.38
115,Srikanth Srinivasan,1,TCS-6888,Superpolynomial arithmetic formula lower bounds,Algebraic computation,reused,General arithmetic formula lower bounds extend his restricted-model breakthroughs.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/05/6302.html,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf
115,Srikanth Srinivasan,2,TCS-1056,Majority outside constant-depth modular circuits,Computational complexity,reused,Modular Boolean-circuit lower bounds concern his circuit-complexity program.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/05/6302.html,https://web.vu.lt/mif/s.jukna/boolean/index.html; https://arxiv.org/abs/2604.04760
116,Euiwoong Lee,1,TCS-7354,Optimal polynomial-time approximation ratio for metric k-means,Approximation algorithms and hardness of approximation,added,Optimal metric k-means approximation directly extends his 2026 clustering work.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/129/5624.html,https://arxiv.org/abs/2607.14654
116,Euiwoong Lee,2,TCS-6637,Constant-colour polynomial-time colouring of 3-colourable graphs,Constraint satisfaction,reused,Constant-color approximation of 3-colorable graphs concerns his hardness research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/129/5624.html,https://arxiv.org/abs/2406.00357; https://arxiv.org/abs/1811.00970; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2020.62; https://arxiv.org/abs/2602.05904; https://arxiv.org/abs/2504.03523
117,Ce Jin,1,TCS-7350,Near-linear output-sensitive Subset Sum,Algorithms & data structures,reused,Output-sensitive Subset Sum directly continues his subset-sum algorithm work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/224/0281.html,https://arxiv.org/abs/2107.13206; https://arxiv.org/abs/2601.01390
117,Ce Jin,2,TCS-6598,Min-Plus Convolution Hypothesis,Fine-grained complexity,reused,Min-plus convolution is a central fine-grained primitive in his research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/224/0281.html,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.119; https://tmc.web.engr.illinois.edu/convol.pdf
118,Josh Alman,1,TCS-0007,Matrix multiplication exponent,Algebraic computation,reused,Matrix multiplication is a direct research focus.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/166/1624.html,https://doi.org/10.1007/BF02165411; https://www.math.ias.edu/files/mathandcomp.pdf; https://arxiv.org/abs/1812.08731; https://doi.org/10.1137/1.9781611978322.63; https://arxiv.org/abs/2608.16884v1; https://arxiv.org/abs/2404.16349v3
118,Josh Alman,2,TCS-6895,Explicit three-dimensional tensors of superlinear rank,Algebraic computation,reused,Explicit tensor rank lower bounds connect the algebraic structures in his algorithmic work.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/166/1624.html,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf
119,William Kuszmaul,1,TCS-7331,Constant-time deterministic dynamic dictionaries,Data structures,reused,Constant-time deterministic dynamic dictionaries concern his hashing and dictionary work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/140/1108.html,https://people.csail.mit.edu/mip/docs/job-application07/statements.pdf
119,William Kuszmaul,2,TCS-7340,Optimal randomized memory-reallocation overhead,Data structures,reused,Optimal memory reallocation directly connects his data-structure research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/140/1108.html,https://arxiv.org/abs/2405.12152; https://arxiv.org/abs/2602.15417v1
120,Tomasz Kociumaka,1,TCS-0467,Linear-space LZ77 random access,String algorithms and bioinformatics,reused,LZ77-space random access connects his compressed string data structures.,source_open,reviewed,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/38/9892.html,https://doi.org/10.4230/DagRep.15.5.1; https://arxiv.org/abs/1902.03568; https://arxiv.org/abs/2607.14923
120,Tomasz Kociumaka,2,TCS-7179,Truly subquadratic exact edit distance,Fine-grained complexity,reused,Exact edit-distance complexity concerns his fine-grained string algorithms.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/38/9892.html,https://arxiv.org/abs/1412.0348; https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science; https://en.wikipedia.org/w/index.php?oldid=1345711618; https://arxiv.org/abs/1502.01063v2; https://arxiv.org/abs/2603.29702
121,Gillat Kol,1,TCS-5892,Constant-factor randomized direct sums for total Boolean functions,Communication complexity and Boolean function analysis,reused,Direct sums for total functions connect her communication and information-complexity research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/39/4172.html,https://doi.org/10.4230/LIPIcs.STACS.2019.50; https://eccc.weizmann.ac.il/report/2010/083/; https://arxiv.org/abs/2608.04141
121,Gillat Kol,2,TCS-4802,Noise tolerance of binary interactive codes,Coding and information theory,reused,Optimal binary interactive noise tolerance connects her interactive-coding research.,uncertain,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/39/4172.html,https://doi.org/10.1109/FOCS54457.2022.00008
122,Soheil Behnezhad,1,TCS-6505,One-cycle versus two-cycles conjecture,"Distributed, parallel and sublinear algorithms",reused,One-cycle versus two-cycles is a central low-memory MPC barrier in his parallel graph work.,open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/192/1220.html,https://doi.org/10.4230/LIPIcs.ICDT.2025.7; https://doi.org/10.1007/s00446-021-00418-2
122,Soheil Behnezhad,2,TCS-6499,Sublogarithmic distributed MIS,"Distributed, parallel and sublinear algorithms",reused,Distributed MIS connects his sublinear and parallel graph algorithms.,open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/192/1220.html,https://arxiv.org/abs/2505.15652; https://arxiv.org/abs/1506.05093; https://arxiv.org/abs/2505.15654
123,Maximilian Probst Gutenberg,1,TCS-5209,Subquadratic exact fully dynamic weighted single-source distances,Dynamic graph algorithms,reused,Dynamic exact SSSP directly concerns his dynamic distance algorithms.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/223/4496.html,https://doi.org/10.4230/LIPIcs.ICALP.2017.44; https://arxiv.org/abs/1705.10097; https://arxiv.org/abs/1909.10850; https://doi.org/10.1109/FOCS57990.2023.00142
123,Maximilian Probst Gutenberg,2,TCS-7344,Almost-linear exact directed global minimum cut,Structural graph theory,reused,Fast directed min cut extends his flow and connectivity research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/223/4496.html,https://arxiv.org/abs/2512.00176; https://arxiv.org/abs/2512.09080; https://mj.ucw.cz/vyuka/ga/ga.pdf
124,Aaron Bernstein,1,TCS-5209,Subquadratic exact fully dynamic weighted single-source distances,Dynamic graph algorithms,reused,Fully dynamic weighted exact SSSP is a central frontier in his dynamic shortest-path work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/02/4059.html,https://doi.org/10.4230/LIPIcs.ICALP.2017.44; https://arxiv.org/abs/1705.10097; https://arxiv.org/abs/1909.10850; https://doi.org/10.1109/FOCS57990.2023.00142
124,Aaron Bernstein,2,TCS-6477,Deterministic subquadratic dynamic s–t reachability,Dynamic graph algorithms,reused,Deterministic dynamic reachability concerns his dynamic graph-algorithm program.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/02/4059.html,https://doi.org/10.1109/FOCS57990.2023.00142
125,Michael Kapralov,1,TCS-0946,Hypergraph cut sparsifiers with \(O(n/\varepsilon ^{2})\) hyperedges,Algorithms & data structures,reused,Optimal hypergraph sparsifiers extend his graph sketching and sparsification research.,uncertain,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/76/6407.html,https://sublinear.info/index.php?title=Open_Problems:91; https://arxiv.org/abs/2009.04992; https://arxiv.org/abs/0808.0163; https://arxiv.org/abs/2407.03934; https://arxiv.org/abs/2510.18180
125,Michael Kapralov,2,TCS-6556,Directed reachability with nearly linear memory and polylogarithmic passes,"Distributed, parallel and sublinear algorithms",reused,Small-memory directed reachability concerns his graph-streaming and communication-lower-bound research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/76/6407.html,https://par.nsf.gov/servlets/purl/10488812; https://eccc.weizmann.ac.il/report/2013/002/revision/3/download/; https://arxiv.org/abs/1905.08841; https://arxiv.org/abs/2011.03495; https://par.nsf.gov/servlets/purl/10315017; https://arxiv.org/abs/2608.07073v2
126,Shay Solomon,1,TCS-6627,Fully dynamic near-optimal matching with polylogarithmic updates,Dynamic graph algorithms,reused,Near-optimal dynamic matching connects his dynamic matching research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/ShaySolomon.html,https://pure.mpg.de/pubman/item/item_3527212_4/component/file_3527885/biennial-report-2023.pdf; https://epubs.siam.org/doi/10.1137/1.9781611977912.109; https://arxiv.org/abs/2406.13573; https://arxiv.org/abs/2502.02455; https://arxiv.org/abs/2403.02582; https://arxiv.org/abs/2605.00797
126,Shay Solomon,2,TCS-6625,Deterministic fully dynamic connectivity with polylogarithmic worst-case updates,Dynamic graph algorithms,reused,Deterministic dynamic connectivity concerns the worst-case guarantees of the graph data structures he studies.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/ShaySolomon.html,https://u.cs.biu.ac.il/~rodittl/p723-holm.pdf; https://doi.org/10.1137/1.9781611973105.81; https://arxiv.org/abs/1910.08025; https://arxiv.org/abs/2510.08297; https://doi.org/10.1137/1.9781611978971.103; https://erikdemaine.org/papers/DynamicConnectivity_SICOMP/
127,Sayan Bhattacharya,1,TCS-6627,Fully dynamic near-optimal matching with polylogarithmic updates,Dynamic graph algorithms,reused,Near-optimal fully dynamic matching is a central problem in his work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/57/3907.html,https://pure.mpg.de/pubman/item/item_3527212_4/component/file_3527885/biennial-report-2023.pdf; https://epubs.siam.org/doi/10.1137/1.9781611977912.109; https://arxiv.org/abs/2406.13573; https://arxiv.org/abs/2502.02455; https://arxiv.org/abs/2403.02582; https://arxiv.org/abs/2605.00797
127,Sayan Bhattacharya,2,TCS-6626,Polylogarithmic worst-case updates for exact dynamic minimum spanning forests,Dynamic graph algorithms,reused,Worst-case dynamic minimum spanning forests connect his dynamic graph-data-structure research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/57/3907.html,https://u.cs.biu.ac.il/~rodittl/p723-holm.pdf; https://arxiv.org/abs/1407.6832; https://arxiv.org/abs/1708.03962; https://arxiv.org/abs/1910.08025; https://arxiv.org/abs/2510.08297; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2021.27
128,Hung Le,1,TCS-6785,Optimal additive error of linear-size spanners,Algorithms & data structures,reused,Linear-size additive spanners directly concern his distance-preserving graph structures.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/45/466-1.html,https://arxiv.org/abs/1909.03152; https://arxiv.org/abs/2207.11832; https://arxiv.org/abs/2303.12768
128,Hung Le,2,TCS-6783,Optimal size of four-additive graph spanners,Algorithms & data structures,reused,Four-additive spanner size is a major canonical spanner tradeoff in his research.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/45/466-1.html,https://arxiv.org/abs/1909.03152; https://arxiv.org/abs/2510.17262; https://arxiv.org/abs/1511.00700
129,Merav Parter,1,TCS-6784,Spanners matching Thorup–Zwick emulator tradeoffs,Algorithms & data structures,reused,Spanner-emulator tradeoffs connect her distributed distance-preserving structures.,open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/16/9365.html,https://arxiv.org/abs/1909.03152; https://researchprofiles.ku.dk/en/publications/spanners-and-emulators-with-sublinear-distance-errors/; https://doi.org/10.1137/16M1105815; https://doi.org/10.1137/23M1581078
129,Merav Parter,2,TCS-6555,Optimal exact single-source shortest paths in CONGEST,"Distributed, parallel and sublinear algorithms",reused,Optimal CONGEST SSSP concerns her distributed shortest-path algorithms.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/16/9365.html,https://link.springer.com/article/10.1007/s00446-026-00505-2; https://link.springer.com/article/10.1007/s00446-021-00412-8; https://nairenc.github.io/nairenc_files/parallelexactsspsqrt.pdf; https://arxiv.org/abs/1011.3049; https://arxiv.org/abs/2204.05874
130,Barna Saha,1,TCS-6624,Constant-factor edit-distance approximation in \(O(n \operatorname{polylog} n)\) time,String algorithms and bioinformatics,reused,Almost-linear constant-factor edit approximation directly continues her approximate string algorithms.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/66/3027.html,https://epubs.siam.org/doi/10.1137/21M1392322; https://arxiv.org/abs/2005.07678; https://arxiv.org/abs/1109.5635; https://arxiv.org/abs/1904.05459; https://arxiv.org/abs/2603.29702; https://arxiv.org/abs/1412.0348
130,Barna Saha,2,TCS-6598,Min-Plus Convolution Hypothesis,Fine-grained complexity,reused,Min-plus convolution connects her fine-grained approximate computation research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/66/3027.html,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.119; https://tmc.web.engr.illinois.edu/convol.pdf
131,Rico Zenklusen,1,TCS-7316,Matroid secretary conjecture,Online algorithms,reused,Matroid secretary is central to his matroid and stochastic optimization work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/48/4189.html,https://arxiv.org/abs/2305.05353
131,Rico Zenklusen,2,TCS-7358,Optimal polynomial-time approximation ratio for Steiner Tree,Approximation algorithms and hardness of approximation,added,Optimal Steiner-tree approximation extends his network-design and approximation research.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/48/4189.html,https://doi.org/10.1145/2432622.2432628; https://doi.org/10.1145/3722101
